"Woonplaatsen","Woonplaatscode (Code)","Gemeente Naam (Naam)","Code (Code)","Provincie Naam (Naam)","Code (Code)","Landsdeel Naam (Naam)","Code (Code)"
"Arnhem","WP1296","Arnhem","GM0202","Gelderland","PV25","Oost-Nederland","LD02"
"Assen","WP2391","Assen","GM0106","Drenthe","PV22","Noord-Nederland","LD01"
"'s-Gravenhage","WP1245","'s-Gravenhage","GM0518","Zuid-Holland","PV28","West-Nederland","LD03"
"Groningen","WP1070","Groningen","GM0014","Groningen","PV20","Noord-Nederland","LD01"
"Haarlem","WP2907","Haarlem","GM0392","Noord-Holland","PV27","West-Nederland","LD03"
"'s-Hertogenbosch","WP1595","'s-Hertogenbosch","GM0796","Noord-Brabant","PV30","Zuid-Nederland","LD04"
"Leeuwarden","WP3615","Leeuwarden","GM0080","Fryslân","PV21","Noord-Nederland","LD01"
"Lelystad","WP1051","Lelystad","GM0995","Flevoland","PV24","Oost-Nederland","LD02"
"Maastricht","WP1406","Maastricht","GM0935","Limburg","PV31","Zuid-Nederland","LD04"
"Middelburg","WP1007","Middelburg","GM0687","Zeeland","PV29","West-Nederland","LD03"
"Utrecht","WP3295","Utrecht","GM0344","Utrecht","PV26","West-Nederland","LD03"
"Zwolle","WP1182","Zwolle","GM0193","Overijssel","PV23","Oost-Nederland","LD02"
"Bron: CBS."
